id,ccr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
2,UFT.2015(L)8501,,+,+,-,-,+,+,-,-,-,+,-,-,+,+,+,+,+,+,+,+,+,-,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UFT.2015(L)8503,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UFT.2015(L)8505,,-+,+,-+,-+,-,+,-+,-,-,+,-,-,+,+,-+,-+,-,+,+,-,+,-,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UFT.2015(L)8506,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UFT.2015(L)8507,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,c,+,+,+,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,UFT.2015(L)8509,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UFT.2015(L)8510,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UFT.2015(L)8511,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UFT.2015(L)8512,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,UFT.2015(L)8514,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,UFT.2015(L)8515,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,UFT.2015(L)8516,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UFT.2015(L)8517,,-c,+,+,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,+,+,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,UFT.2015(L)8519,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,UFT.2015(L)8521,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UFT.2015(L)8522,,-w,+w,+,+,-+,+,-,-,+,+,+,-,+,-,d,-w,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,+,+w,,,-,+,+,,,,,,,,,,,,,,,,,
24,UFT.2015(L)8523,,+,+,+,+,+,-,-,-,-,+,-,-,+,-,-+,-+,-,+,+,-,+,-,+,+,-+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,UFT.2015(L)8524,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,UFT.2015(L)8525,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,UFT.2015(L)8529,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,UFT.2015(L)8530,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,UFT.2015(L)8531,,+,-+,+,+,+,+,-,-c,c,-,-,+,+,c,-+,+w,-,-+,-c,-,+,-c,-c,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,UFT.2015(L)8532,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,UFT.2015(L)8535,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,UFT.2015(L)8536,,+w,-,+,+,+w,+w,-,-,+w,+w,-,+w,+w,-,-,-,-,+,+,+w,-,-,+w,+w,+w,+w,-,+,+,-,-,-,-,+w,,,+w,-,-,,,,,,,,,,,,,,,,,
39,UFT.2015(L)8538,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,UFT.2015(L)8539,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,UFT.2015(L)8540,,+w,-,+,+,+w,+w,-,-,+w,+w,-,+w,+w,-,-,-,-,+,+,+w,-,-,+w,+w,+w,+w,-,+,+,-,-,-,-,+w,,,+w,-,-,,,,,,,,,,,,,,,,,
42,UFT.2015(L)8541,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,UFT.2015(L)8542,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,UFT.2015(L)8543,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,UFT.2015(L)8544,,+,+,+,+,+,+,-+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-+,+,+,-+,-+,+,-+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,
46,UFT.2015(L)8545,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,UFT.2015(L)8546,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,UFT.2015(L)8547,,-,-,-,+,+,+,-,-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,UFT.2015(L)8548,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,UFT.2015(L)8549,,+,-+,-+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,+,+,+,+,-,+,+,+,+,+,-,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,
51,UFT.2015(L)8550,,+,+w,+,+,+w,+,-,-+,+,+,+w,-c,+,+,+w,+w,-c,+,+w,-+,+,-+,+w,-+,+,+w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,UFT.2015(L)8551,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+w,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,UFT.2015(L)8553,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,UFT.2015(L)8554,,+,+,+,+,c,+,-,-,-,+,-,-,+,-,-,-,-,+,+,-,+,-,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
