id,ccr_codigo,amostra,substrato,cidade,uf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
2,UFT.2015(L)8501,JHF.BU.001.002,Fruto de Buriti,Nova Xavantina,MT,,+,+,-,-,+,+,-,-,-,+,-,-,+,+,+,+,+,+,+,+,+,-,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UFT.2015(L)8503,JHF.BU.003.001,Fruto de Buriti,Nova Xavantina,MT,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UFT.2015(L)8505,JHF.BU.003.003,Fruto de Buriti,Nova Xavantina,MT,,-+,+,-+,-+,-,+,-+,-,-,+,-,-,+,+,-+,-+,-,+,+,-,+,-,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UFT.2015(L)8506,JHF.BU.003.003,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UFT.2015(L)8507,JHF.BU.003.004,Fruto de Buriti,Nova Xavantina,MT,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,+,c,+,+,+,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,UFT.2015(L)8509,JHF.BU.004.001,Fruto de Buriti,Nova Xavantina,MT,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UFT.2015(L)8510,JHF.BU.004.001,Fruto de Buriti,Nova Xavantina,MT,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UFT.2015(L)8511,JHF.BU.005.001,Fruto de Buriti,Nova Xavantina,MT,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UFT.2015(L)8512,JHF.BU.005.001,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,UFT.2015(L)8514,JHF.BU.005.002,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,UFT.2015(L)8515,JHF.BU.006.001,Fruto de Buriti,Nova Xavantina,MT,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,UFT.2015(L)8516,JHF.BU.006.001,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UFT.2015(L)8517,JHF.BU.006.002,Fruto de Buriti,Nova Xavantina,MT,,-c,+,+,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,+,+,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,UFT.2015(L)8519,JHF.BU.007.001,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,UFT.2015(L)8521,JHF.BU.007.002,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UFT.2015(L)8522,JHF.BU.008.001,Fruto de Buriti,Nova Xavantina,MT,,-w,+w,+,+,-+,+,-,-,+,+,+,-,+,-,d,-w,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,+,+w,,,-,+,+,,,,,,,,,,,,,,,,,
24,UFT.2015(L)8523,JHF.BU.008.002,Fruto de Buriti,Nova Xavantina,MT,,+,+,+,+,+,-,-,-,-,+,-,-,+,-,-+,-+,-,+,+,-,+,-,+,+,-+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,UFT.2015(L)8524,JHF.BU.008.002,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,UFT.2015(L)8525,JHF.BU.008.002,Fruto de Buriti,Nova Xavantina,MT,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,UFT.2015(L)8529,JHF.BU.002.001,Fruto de Buriti,Nova Xavantina,MT,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,UFT.2015(L)8530,JHF.BU.002.001,Fruto de Buriti,Nova Xavantina,MT,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,UFT.2015(L)8531,JHF.BU.002.001,Fruto de Buriti,Nova Xavantina,MT,,+,-+,+,+,+,+,-,-c,c,-,-,+,+,c,-+,+w,-,-+,-c,-,+,-c,-c,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,UFT.2015(L)8532,JHF.BU.002.002,Fruto de Buriti,Nova Xavantina,MT,,+,+,+w,+,+,-+,-,+w,+w,-+,-c,-c,+,+,-+,+w,-c,+,+,-,+w,+w,-+,-+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,UFT.2015(L)8535,JHF.BU.002.003,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,UFT.2015(L)8536,JHF.BU.002.004,Fruto de Buriti,Nova Xavantina,MT,,+w,-,+,+,+w,+w,-,-,+w,+w,-,+w,+w,-,-,-,-,+,+,+w,-,-,+w,+w,+w,+w,-,+,+,-,-,-,-,+w,,,+w,-,-,,,,,,,,,,,,,,,,,
39,UFT.2015(L)8538,JHF.BA.005.001,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,UFT.2015(L)8539,JHF.BA.007.001,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,UFT.2015(L)8540,JHF.BA.008.001,Fruto de Buriti,Nova Xavantina,MT,,+w,-,+,+,+w,+w,-,-,+w,+w,-,+w,+w,-,-,-,-,+,+,+w,-,-,+w,+w,+w,+w,-,+,+,-,-,-,-,+w,,,+w,-,-,,,,,,,,,,,,,,,,,
42,UFT.2015(L)8541,JHF.BA.008.002,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,UFT.2015(L)8542,JHF.BA.008.003,Fruto de Buriti,Nova Xavantina,MT,,-c,-c,-,-,+,-,-,-,-,-,-,c,-,-,-,-,-,-,-c,-,-,-,-,-c,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,UFT.2015(L)8543,JHF.PB.003.001,Fruto de Buriti,Nova Xavantina,MT,,+,+,+,c,c,+,-,-,c,+,-,+,+,c,c,-,-,d,+,c,+,-,c,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,UFT.2015(L)8544,JHF.PB.004.001,Fruto de Buriti,Nova Xavantina,MT,,+,+,+,+,+,+,-+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-+,+,+,-+,-+,+,-+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,
