,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
UFT.2014(L)6515,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,+,+,,
UFT.2014(L)6536,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6539,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6545,,+,-,+,+,+,+,-,+,+,+,+,-,+,+,+,+,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,+,+,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,-,+,+,,
UFT.2014(L)6554,,-,+,-,+,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6555,,+,+,+,+,+,+,-,+,-,+,-,-,+,+,+,-,-,-,-,-,+,w,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,+
UFT.2014(L)6556,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,+,+,-,-,w,-,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,-,-,-,-,-,-,+,,
UFT.2014(L)6564,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6566,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6567,,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,+,+,+,-
UFT.2014(L)6568,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,+,+,-,
UFT.2014(L)6571,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-,-,-,-,,-,-,,,,,
UFT.2014(L)6575,,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,+
UFT.2014(L)6576,,-,-,-,,-,-,-,-,-,-,,-,+,-,-,+,-,-,-,+,+,-,,-,-,-,w,+,+,-,w,+,-,-,-,-,-,-,w,+,-,,,+,+,+,+,+,,-,-,,,,,
UFT.2014(L)6577,,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,+,w,-,-,-,-,+,-,-,+,-,+,,,+,-,+,+,-,-,-,-,+,-,+,+,+
UFT.2014(L)6578,,+,+,+,+,+,-,+,-,-,+,-,-,+,+,w,-,+,,w,-,+,-,+,-,-,+,+,-,+,+,-,-,-,-,,,,-,+,-,+,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)6580,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6581,,+,+,+,+,+,+,-,-,+,+,,-,+,+,+,-,-,-,+,-,+,-,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,+,,-,+,,,-,-,+,+,-,,-,-,,,,,
