id,ccr_codigo,coleta,amostra,latitude,longitude,cidade,localidade,data_coleta,ano,equipe,substrato,nome_cientifico,uf,fermentacao,temperatura,outros,infogenetica
644,UFT.2015(L)8600,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
645,UFT.2015(L)8601,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
646,UFT.2015(L)8602,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
647,UFT.2015(L)8603,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
648,UFT.2015(L)8604,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
649,UFT.2015(L)8605,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,1
650,UFT.2015(L)8606,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
651,UFT.2015(L)8607,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
652,UFT.2015(L)8608,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
653,UFT.2015(L)8609,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
654,UFT.2015(L)8610,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
655,UFT.2015(L)8611,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
656,UFT.2015(L)8612,STL.CAN.001,STL.CAN.001.001,-997865,-5003707,Pium,Centro de Pesquisa Canguçú (Pium-TO),2015-01-11,2015,Stella Barros,Folha de Babaçu,Attalea speciosa,TO,,,,
