id,ano,ccr,amostra,coleta,latitude,longitude,data_coleta,localidade,equipe,substrato,nome_cientifico,cidade,uf,ccr_codigo,microorganismo,instituicao,fermentacao,temperatura,outros,infogenetica
1,2015,8500,JHF.BU.001.001,JHF.BU.001,-14.681.193,-52.367.863,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8500,L,UFT,0,0,0,0
2,2015,8501,JHF.BU.001.002,JHF.BU.001,-14.681.193,-52.367.863,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8501,L,UFT,0,0,0,1
3,2015,8502,JHF.BU.001.002,JHF.BU.001,-14.681.193,-52.367.863,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8502,L,UFT,0,0,0,0
4,2015,8503,JHF.BU.003.001,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8503,L,UFT,0,0,0,1
5,2015,8504,JHF.BU.003.002,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8504,L,UFT,0,0,0,0
6,2015,8505,JHF.BU.003.003,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8505,L,UFT,0,0,0,1
7,2015,8506,JHF.BU.003.003,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8506,L,UFT,0,0,0,1
8,2015,8507,JHF.BU.003.004,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8507,L,UFT,0,0,0,0
9,2015,8508,JHF.BU.003.005,JHF.BU.003,-14.681.243,-52.367.831,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8508,L,UFT,0,0,0,0
10,2015,8509,JHF.BU.004.001,JHF.BU.004,-14.681.175,-52.367.956,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8509,L,UFT,0,0,0,1
11,2015,8510,JHF.BU.004.001,JHF.BU.004,-14.681.175,-52.367.956,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8510,L,UFT,0,0,0,1
12,2015,8511,JHF.BU.005.001,JHF.BU.005,-14.681.177,-52.368.049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8511,L,UFT,0,0,0,1
13,2015,8512,JHF.BU.005.001,JHF.BU.005,-14.681.177,-52.368.049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8512,L,UFT,0,0,0,1
14,2015,8513,JHF.BU.005.002,JHF.BU.005,-14.681.177,-52.368.049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8513,L,UFT,0,0,0,0
15,2015,8514,JHF.BU.005.002,JHF.BU.005,-14.681.177,-52.368.049,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8514,L,UFT,0,0,0,1
16,2015,8515,JHF.BU.006.001,JHF.BU.006,-14.681.129,-52.368.103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8515,L,UFT,0,0,0,1
17,2015,8516,JHF.BU.006.001,JHF.BU.006,-14.681.129,-52.368.103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8516,L,UFT,0,0,0,1
18,2015,8517,JHF.BU.006.002,JHF.BU.006,-14.681.129,-52.368.103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8517,L,UFT,0,0,0,1
19,2015,8518,JHF.BU.006.002,JHF.BU.006,-14.681.129,-52.368.103,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8518,L,UFT,0,0,0,0
20,2015,8519,JHF.BU.007.001,JHF.BU.007,-14.681.300,-52.368.194,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8519,L,UFT,0,0,0,1
21,2015,8520,JHF.BU.007.001,JHF.BU.007,-14.681.300,-52.368.194,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8520,L,UFT,0,0,0,1
22,2015,8521,JHF.BU.007.002,JHF.BU.007,-14.681.300,-52.368.194,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8521,L,UFT,0,0,0,1
23,2015,8522,JHF.BU.008.001,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8522,L,UFT,0,0,0,1
24,2015,8523,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8523,L,UFT,0,0,0,1
25,2015,8524,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8524,L,UFT,0,0,0,1
26,2015,8525,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8525,L,UFT,0,0,0,1
27,2015,8526,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8526,L,UFT,0,0,0,0
28,2015,8527,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8527,L,UFT,0,0,0,1
29,2015,8528,JHF.BU.008.002,JHF.BU.008,-14.681.421,-52.367.674,2015-08-14,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8528,L,UFT,0,0,0,0
30,2015,8529,JHF.BU.002.001,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8529,L,UFT,0,0,0,1
31,2015,8530,JHF.BU.002.001,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8530,L,UFT,0,0,0,1
32,2015,8531,JHF.BU.002.001,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8531,L,UFT,0,0,0,0
33,2015,8532,JHF.BU.002.002,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8532,L,UFT,0,0,0,1
34,2015,8533,JHF.BU.002.002,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8533,L,UFT,0,0,0,0
35,2015,8534,JHF.BU.002.003,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8534,L,UFT,0,0,0,0
36,2015,8535,JHF.BU.002.003,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8535,L,UFT,0,0,0,1
37,2015,8536,JHF.BU.002.004,JHF.BU.002,-14.681.273,-52.367.834,2015-08-10,Fazenda São Francisco,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8536,L,UFT,0,0,0,1
38,2015,8537,JHF.BA.004.001,JHF.BA.004,-14.718.120,-52.362.947,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8537,L,UFT,0,0,0,0
39,2015,8538,JHF.BA.005.001,JHF.BA.005,-14.718.320,-52.362.337,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8538,L,UFT,0,0,0,1
40,2015,8539,JHF.BA.007.001,JHF.BA.007,-14.718.543,-52.361.896,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8539,L,UFT,0,0,0,1
41,2015,8540,JHF.BA.008.001,JHF.BA.008,-14.718.548,-52.361.735,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8540,L,UFT,0,0,0,1
42,2015,8541,JHF.BA.008.002,JHF.BA.008,-14.718.548,-52.361.735,2015-08-13,Córrego Bacaba,Jheferson Paulino,Fruto de Buriti,Mauritia flexuosa,Nova Xavantina,MT,UFT.2015(L)8541,L,UFT,0,0,0,1
